,machine1,machine2,machine3,machine4,machine5,machine6,machine7,machine8
Job1,11,16,15,4,15,22,17,22
Job2,9,9,15,3,21,4,16,2
Job3,15,15,19,15,22,15,17,8
Job4,22,33,16,19,21,21,27,9
Job5,14,28,14,12,12,17,8,21
Job6,7,18,19,11,10,23,13,19
Job7,18,19,20,5,29,16,9,10
Job8,8,32,32,16,1,12,8,5
Job9,23,22,14,18,22,11,11,5
Job10,9,17,27,45,12,11,8,6
Job11,21,15,11,10,10,13,17,29
Job12,8,8,12,12,12,16,16,16
Job13,7,7,27,7,7,7,19,9
Job14,11,11,11,12,25,33,11,11
Job15,19,5,5,5,7,8,21,21
Job16,21,12,11,3,3,3,5,5
Job17,7,7,4,4,12,12,16,16
Job18,8,1,1,8,8,1,1,1
Job19,11,22,22,33,33,11,11,22
Job20,11,35,33,18,6,6,6,2
Job21,2,2,33,1,1,51,22,2
Job22,15,15,15,5,5,5,5,5
Job23,19,2,19,2,2,2,19,2
Job24,18,18,38,2,2,22,38,3
Job25,10,9,9,29,1,1,1,22
Job26,50,1,1,5,2,1,44,1
Job27,35,7,7,12,12,35,1,5
Job28,22,1,1,29,11,29,1,1
